#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:35 out:35 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:29.03 aq:22.92 tex:134 mv:27 misc:151 imb:1 pmb:7 smb:912 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:29.03 aq:21.51 tex:1898 mv:117 misc:161 imb:1 pmb:37 smb:882 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:29.03 aq:21.96 tex:2475 mv:122 misc:163 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:21.96 tex:2832 mv:120 misc:168 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:29.03 aq:21.95 tex:3251 mv:128 misc:165 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:21.50 tex:2980 mv:123 misc:169 imb:1 pmb:37 smb:882 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:21.49 tex:3188 mv:132 misc:160 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:29.03 aq:21.95 tex:3661 mv:138 misc:161 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:29.03 aq:22.95 tex:2582 mv:136 misc:162 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:29.03 aq:17.28 tex:3648 mv:185 misc:175 imb:5 pmb:39 smb:876 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:29.03 aq:22.42 tex:2896 mv:142 misc:162 imb:1 pmb:36 smb:883 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:23.33 tex:3373 mv:174 misc:165 imb:1 pmb:38 smb:881 d:- ref:0 ;
